COUNTY,DATE,Housing & Shelter,Food,Utilities,Healthcare & COVID-19,Mental Health & Addictions,Employment & Income,Clothing & Household,Child Care & Parenting,Government & Legal,Transportation Assistance,Education,Disaster,Other,Total for top requests,(Housing & Shelter) Shelters,(Housing & Shelter) Low-cost housing,(Housing & Shelter) Home repair/ maintenance,(Housing & Shelter) Rent assistance,(Housing & Shelter) Mortgage assistance,(Housing & Shelter) Landlord/ tenant issues,(Housing & Shelter) Contacts,(Housing & Shelter) Other housing & shelter,(Food) Help buying food,(Food) Food pantries,(Food) Soup kitchens & Meals to-go,(Food) Feeding children,(Food) Home-delivered meals,(Food) Holiday meals,(Food) Contacts,(Food) Other food,(Utilities) Electric,(Utilities) Gas,(Utilities) Water,(Utilities) Heating fuel,(Utilities) Utility payment plans,(Utilities) Phone/internet,(Utilities) Contacts,(Utilities) Other utilities,(Healthcare & COVID-19) Health insurance,(Healthcare & COVID-19) Medical expense assistance,(Healthcare & COVID-19) Medical providers,(Healthcare & COVID-19) Dental & eye care,(Healthcare & COVID-19) Prescription medications,(Healthcare & COVID-19) Nursing homes & adult care,(Healthcare & COVID-19) Death related,(Healthcare & COVID-19) Public health & safety,(Healthcare & COVID-19) COVID testing,(Healthcare & COVID-19) COVID vaccination,(Healthcare & COVID-19) All other COVID,(Healthcare & COVID-19) Other health services,(Healthcare & COVID-19) Contacts,(Healthcare & COVID-19) Other healthcare,(Mental Health & Addictions) Substance abuse & addictions,(Mental Health & Addictions) Marriage & family,(Mental Health & Addictions) Crisis intervention & suicide,(Mental Health & Addictions) Mental health services,(Mental Health & Addictions) Mental health facilities,(Mental Health & Addictions) Other mental health & addictions,(Employment & Income) Job search,(Employment & Income) Job development,(Employment & Income) Unemployment benefits,(Employment & Income) Tax preparation,(Employment & Income) Financial assistance,(Employment & Income) Money management,(Employment & Income) Contacts,(Employment & Income) Other employment & income,(Clothing & Household) Clothing,(Clothing & Household) Personal hygiene products,(Clothing & Household) Appliances,(Clothing & Household) Home furnishings,(Clothing & Household) Thrift shops,(Clothing & Household) Seasonal/ holiday,(Clothing & Household) Contacts,(Clothing & Household) Other clothing & household,(Child Care & Parenting) Child care,(Child Care & Parenting) Parenting,(Child Care & Parenting) Family support services,(Child Care & Parenting) Other child care & parenting,(Government & Legal) Legal assistance,(Government & Legal) Child & family law,(Government & Legal) Immigration assistance,(Government & Legal) Government,(Government & Legal) Contacts,(Government & Legal) Other government & legal,(Transportation Assistance) Medical transportation,(Transportation Assistance) Public transportation,(Transportation Assistance) Automobile assistance,(Transportation Assistance) Long-distance travel,(Transportation Assistance) Ride share services,(Transportation Assistance) Bike programs,(Transportation Assistance) Contacts,(Transportation Assistance) Other transportation assistance,(Education) Early childhood education,(Education) Adult education,(Education) Literacy,(Education) ESL/ citizenship,(Education) Tutoring,(Education) School supplies,(Education) Scholarships & aid,(Education) Other education providers,(Education) Contacts,(Education) Other education,(Disaster) Food/ water,(Disaster) Housing/ shelter,(Disaster) Transportation/ fuel,(Disaster) Health/ safety,(Disaster) Financial assistance,(Disaster) Disaster relief services,(Disaster) Contacts,(Disaster) Other disaster,(Other) Agency & other contact information,(Other) Community development & enrichment,(Other) Volunteering & donations,(Other) Support & advocacy,(Other) Complaints,(Other) Special population services,(Other) Special populations,(Other) All other requests,Filled,Judgement,Population
Clark County,Jun 2021,9,0,5,1,1,0,0,0,2,1,0,0,2,21,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34579
Bayfield County,Aug 2019,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14993
Dodge County,Jun 2020,15,4,5,9,9,3,2,0,6,1,0,3,10,67,2,1,4,8,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,4,0,2,0,0,0,5,0,2,2,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,2,1,0,0,2,0,0,35,3,87715
La Crosse County,Sep 2019,59,26,22,69,299,5,10,7,90,24,1,2,145,759,16,11,9,15,1,7,0,0,2,15,6,0,3,0,0,0,18,0,0,0,0,2,2,0,7,3,10,9,2,24,0,0,0,0,0,3,11,0,34,1,242,20,2,0,2,0,0,0,2,1,0,0,4,5,0,1,0,0,0,0,2,5,0,0,15,5,2,21,47,0,4,7,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,20,14,8,15,2,9,0,77,46,15,117894
Polk County,Mar 2020,7,7,7,10,12,3,3,1,2,0,0,0,8,60,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,10,0,1,1,0,0,0,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,2,2,1,43438
Forest County,Nov 2020,2,1,0,2,2,1,0,0,0,0,0,2,0,10,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8995
Lafayette County,Sep 2019,0,0,1,1,3,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,16715
Ozaukee County,May 2021,5,4,0,36,57,3,0,0,8,2,0,0,19,134,1,1,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,4,3,1,3,21,0,12,0,14,31,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,1,0,8,8,0,88597
Milwaukee County,Aug 2019,3738,2318,589,575,1870,185,872,63,580,72,48,31,849,11790,2422,552,110,406,10,227,5,6,197,1681,281,121,26,0,0,12,510,11,4,2,10,32,11,9,115,8,81,32,15,271,12,0,0,0,0,36,5,0,257,2,656,935,20,0,94,2,4,18,47,14,6,0,188,65,269,345,4,0,0,1,33,30,0,0,111,118,0,195,156,0,19,30,22,1,0,0,0,0,2,2,1,0,0,33,1,9,0,0,0,25,0,1,0,0,3,2,368,31,78,36,13,95,0,228,1337,106,951226
Iowa County,Apr 2020,5,2,1,3,2,2,0,0,3,0,0,0,1,19,0,0,0,2,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,23618
Waupaca County,Oct 2019,22,6,6,2,3,7,8,0,6,5,3,0,8,76,1,6,0,12,2,1,0,0,1,2,2,0,0,1,0,0,4,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,1,0,2,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,3,0,0,2,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,2,13,0,51245
Grant County,Oct 2019,10,2,4,2,14,2,2,1,5,2,1,0,6,51,2,4,0,3,0,1,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,10,4,51733
Langlade County,Nov 2020,7,0,0,7,3,0,1,0,0,1,0,1,0,20,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,19146
Winnebago County,Mar 2021,86,18,20,275,28,19,2,0,33,14,2,16,52,565,17,15,1,44,3,5,0,1,4,13,1,0,0,0,0,0,13,4,2,0,0,1,0,0,1,10,6,6,0,14,0,1,19,94,9,11,102,2,15,0,5,8,0,0,1,0,1,13,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,2,0,4,17,0,3,2,5,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,15,0,0,0,36,0,3,1,0,4,0,8,33,11,170411
Bayfield County,Jan 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14993
Kenosha County,Sep 2019,38,9,12,7,6,5,4,0,8,1,1,1,8,100,17,8,0,11,0,2,0,0,0,8,1,0,0,0,0,0,8,3,0,0,0,1,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,3,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,1,0,0,69,13,168524
Walworth County,Mar 2020,35,11,15,33,12,2,1,1,2,2,0,0,11,125,6,1,3,21,0,4,0,0,0,9,0,0,2,0,0,0,11,3,0,1,0,0,0,0,2,1,7,0,0,2,0,0,0,0,21,0,0,0,10,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,3,17,4,103074
Milwaukee County,Jan 2020,3335,1853,247,666,1787,166,951,54,456,78,11,12,801,10417,1996,484,208,387,14,236,11,0,119,1430,174,0,38,92,0,0,155,21,7,13,2,36,6,7,248,12,78,49,10,211,8,0,0,0,0,34,16,0,253,2,420,1099,13,0,42,2,8,24,68,14,8,0,214,32,204,329,3,169,0,0,27,27,0,0,90,83,2,150,131,0,27,26,22,0,0,0,0,2,1,6,0,0,1,0,0,3,0,0,0,3,0,1,0,0,3,5,376,18,113,24,19,76,0,175,1328,84,951226
Shawano County,Apr 2020,6,4,3,12,3,7,0,0,6,0,0,1,8,50,1,1,0,4,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,1,0,2,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,3,1,0,40904
Menominee County,Apr 2021,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4558
Winnebago County,Dec 2020,104,40,16,81,46,16,18,0,37,13,1,1,38,411,18,15,1,68,0,2,0,0,6,17,4,0,4,8,0,1,8,0,4,4,0,0,0,0,12,0,11,1,1,4,1,2,28,3,6,12,0,0,16,0,11,18,1,0,1,0,5,2,6,2,0,0,5,1,1,0,1,9,0,1,0,0,0,0,13,1,0,6,17,0,1,6,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,23,1,4,0,2,1,0,7,51,3,170411
Burnett County,Dec 2019,3,0,1,0,1,0,1,0,1,0,0,0,4,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,15289
Milwaukee County,Oct 2019,3394,1715,632,553,1803,219,754,44,440,53,23,19,792,10441,2047,550,121,445,9,213,5,3,109,1353,230,0,19,1,0,3,557,22,5,0,6,31,4,7,74,10,81,39,10,294,5,0,0,0,0,28,12,0,327,1,576,883,16,0,111,1,11,15,67,14,1,0,196,57,167,329,5,0,0,0,28,16,0,0,86,87,1,159,107,0,10,24,17,2,0,0,0,0,1,6,0,0,1,8,3,4,0,0,0,9,0,0,0,0,1,9,379,13,108,25,13,71,0,183,1224,146,951226
Pepin County,Nov 2020,1,0,0,2,4,0,1,0,0,0,0,1,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7265
Menominee County,Jun 2020,1,1,2,0,2,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4558
Shawano County,Jun 2021,15,2,2,8,3,0,2,1,1,1,0,1,6,42,0,2,5,8,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,1,3,1,40904
Grant County,Jan 2020,4,0,0,10,12,3,1,0,0,0,0,0,1,31,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,1,0,0,0,0,0,0,0,0,3,0,7,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,51733
Green County,Nov 2020,7,1,0,2,0,1,1,0,1,0,0,0,0,13,0,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,36896
Waupaca County,Jan 2020,17,4,4,2,11,5,2,1,10,2,1,0,12,71,4,5,2,3,2,1,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4,3,0,0,1,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,4,8,3,51245
Burnett County,Jul 2020,3,1,6,5,0,0,0,0,0,0,0,1,2,18,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,15289
Dane County,Nov 2019,249,643,48,215,129,93,161,7,49,98,11,2,161,1866,57,31,12,130,1,15,1,2,16,445,18,0,5,159,0,0,25,1,5,4,1,11,1,0,101,2,22,34,3,38,2,0,0,0,0,5,8,0,22,0,57,45,5,0,5,0,12,7,15,53,1,0,39,27,5,18,4,68,0,0,7,0,0,0,9,7,0,15,18,0,13,21,56,6,0,0,0,2,0,1,0,0,0,2,1,7,0,0,0,1,0,0,0,0,1,0,82,2,13,6,2,15,0,41,190,10,536078
Bayfield County,Oct 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14993
Winnebago County,Jul 2019,101,19,47,28,32,10,12,6,39,24,4,1,43,366,22,29,1,37,2,10,0,0,3,14,2,0,0,0,0,0,37,2,5,2,0,0,1,0,1,2,12,2,0,9,0,0,0,0,0,1,1,0,13,0,3,15,1,0,4,0,0,0,5,1,0,0,4,2,1,4,1,0,0,0,3,3,0,0,6,1,0,10,22,0,3,6,15,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,10,5,5,2,0,3,0,18,69,8,170411
Vilas County,Sep 2020,10,2,0,7,1,3,0,0,6,1,0,0,5,35,1,3,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,1,21751
Polk County,May 2021,21,0,8,22,3,1,2,0,1,4,0,0,6,68,3,4,1,11,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,1,0,2,0,0,4,0,1,0,0,0,0,0,7,3,1,1,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,2,0,43438
Dunn County,Jun 2021,14,3,7,13,13,2,0,0,3,0,0,1,3,59,2,7,1,4,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,1,1,1,0,3,1,0,0,1,2,0,0,3,0,3,0,7,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,8,0,44759
Waukesha County,Jan 2020,102,22,10,37,332,11,11,2,52,13,0,1,34,627,37,22,12,19,4,8,0,0,4,14,1,0,3,0,0,0,5,2,0,2,0,1,0,0,12,3,5,3,2,7,0,0,0,0,0,2,3,0,28,0,110,191,3,0,4,0,0,5,1,1,0,0,4,2,1,4,0,0,0,0,2,0,0,0,4,23,0,15,10,0,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,2,1,2,5,0,6,45,9,400475
Dodge County,Dec 2019,7,3,2,1,3,2,3,0,0,0,0,0,5,26,0,2,0,5,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,15,3,87715
Eau Claire County,Apr 2020,55,14,19,29,41,17,2,0,28,4,0,2,25,236,18,8,0,23,0,5,0,1,4,7,1,0,2,0,0,0,14,1,0,1,0,3,0,0,1,1,6,2,3,2,0,0,0,0,14,0,0,0,3,0,35,3,0,0,2,0,4,8,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,9,15,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,2,2,0,2,0,16,0,0,103514
Richland County,Jan 2020,1,1,0,0,4,1,0,0,2,0,0,0,2,11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,17459
Oneida County,Jul 2019,22,1,11,2,8,3,0,1,1,4,0,13,8,74,2,7,3,8,1,1,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,2,1,0,0,0,0,0,5,3,0,35381
Oneida County,Dec 2020,21,4,5,43,11,3,6,1,4,3,1,0,4,106,1,3,0,16,0,1,0,0,0,1,0,0,0,3,0,0,2,1,0,0,0,2,0,0,1,0,1,0,0,0,0,5,26,2,6,2,0,0,8,0,2,0,1,0,0,0,1,0,2,0,0,0,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,4,0,35381
Iron County,Oct 2019,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5687
Marathon County,Sep 2019,229,24,43,55,39,27,42,5,67,36,4,2,140,713,26,47,72,65,3,9,7,0,5,12,5,0,0,2,0,0,32,3,4,1,0,2,0,1,9,4,6,3,9,20,1,0,0,0,0,2,1,0,23,0,6,10,0,0,9,2,2,4,5,4,0,1,26,6,1,5,1,3,0,0,3,2,0,0,14,5,0,15,33,0,11,14,11,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,29,12,31,12,2,8,0,46,28,22,135396
Ozaukee County,Mar 2020,11,11,3,33,23,7,0,0,2,0,0,1,13,104,1,2,0,7,1,0,0,0,0,5,0,0,6,0,0,0,3,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,25,0,0,0,6,0,5,12,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,6,4,1,88597
Dodge County,Jul 2020,34,3,7,44,11,3,0,0,5,1,0,1,16,125,4,0,2,25,0,2,0,1,1,2,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,27,0,6,6,0,0,5,1,4,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1,2,0,2,25,4,87715
Iron County,Jan 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5687
Adams County,Nov 2020,15,5,7,20,6,1,3,2,1,2,0,1,2,65,0,0,4,11,0,0,0,0,1,2,0,0,1,1,0,0,5,0,0,0,0,1,1,0,1,0,0,1,2,1,0,0,12,0,2,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,2,20094
