"","COUNTY","DATE","Housing & Shelter","Food","Utilities","Healthcare & COVID-19","Mental Health & Addictions","Employment & Income","Clothing & Household","Child Care & Parenting","Government & Legal","Transportation Assistance","Education","Disaster","Other","Total for top requests","(Housing & Shelter) Shelters","(Housing & Shelter) Low-cost housing","(Housing & Shelter) Home repair/ maintenance","(Housing & Shelter) Rent assistance","(Housing & Shelter) Mortgage assistance","(Housing & Shelter) Landlord/ tenant issues","(Housing & Shelter) Contacts","(Housing & Shelter) Other housing & shelter","(Food) Help buying food","(Food) Food pantries","(Food) Soup kitchens & Meals to-go","(Food) Feeding children","(Food) Home-delivered meals","(Food) Holiday meals","(Food) Contacts","(Food) Other food","(Utilities) Electric","(Utilities) Gas","(Utilities) Water","(Utilities) Heating fuel","(Utilities) Utility payment plans","(Utilities) Phone/internet","(Utilities) Contacts","(Utilities) Other utilities","(Healthcare & COVID-19) Health insurance","(Healthcare & COVID-19) Medical expense assistance","(Healthcare & COVID-19) Medical providers","(Healthcare & COVID-19) Dental & eye care","(Healthcare & COVID-19) Prescription medications","(Healthcare & COVID-19) Nursing homes & adult care","(Healthcare & COVID-19) Death related","(Healthcare & COVID-19) Public health & safety","(Healthcare & COVID-19) COVID testing","(Healthcare & COVID-19) COVID vaccination","(Healthcare & COVID-19) All other COVID","(Healthcare & COVID-19) Other health services","(Healthcare & COVID-19) Contacts","(Healthcare & COVID-19) Other healthcare","(Mental Health & Addictions) Substance abuse & addictions","(Mental Health & Addictions) Marriage & family","(Mental Health & Addictions) Crisis intervention & suicide","(Mental Health & Addictions) Mental health services","(Mental Health & Addictions) Mental health facilities","(Mental Health & Addictions) Other mental health & addictions","(Employment & Income) Job search","(Employment & Income) Job development","(Employment & Income) Unemployment benefits","(Employment & Income) Tax preparation","(Employment & Income) Financial assistance","(Employment & Income) Money management","(Employment & Income) Contacts","(Employment & Income) Other employment & income","(Clothing & Household) Clothing","(Clothing & Household) Personal hygiene products","(Clothing & Household) Appliances","(Clothing & Household) Home furnishings","(Clothing & Household) Thrift shops","(Clothing & Household) Seasonal/ holiday","(Clothing & Household) Contacts","(Clothing & Household) Other clothing & household","(Child Care & Parenting) Child care","(Child Care & Parenting) Parenting","(Child Care & Parenting) Family support services","(Child Care & Parenting) Other child care & parenting","(Government & Legal) Legal assistance","(Government & Legal) Child & family law","(Government & Legal) Immigration assistance","(Government & Legal) Government","(Government & Legal) Contacts","(Government & Legal) Other government & legal","(Transportation Assistance) Medical transportation","(Transportation Assistance) Public transportation","(Transportation Assistance) Automobile assistance","(Transportation Assistance) Long-distance travel","(Transportation Assistance) Ride share services","(Transportation Assistance) Bike programs","(Transportation Assistance) Contacts","(Transportation Assistance) Other transportation assistance","(Education) Early childhood education","(Education) Adult education","(Education) Literacy","(Education) ESL/ citizenship","(Education) Tutoring","(Education) School supplies","(Education) Scholarships & aid","(Education) Other education providers","(Education) Contacts","(Education) Other education","(Disaster) Food/ water","(Disaster) Housing/ shelter","(Disaster) Transportation/ fuel","(Disaster) Health/ safety","(Disaster) Financial assistance","(Disaster) Disaster relief services","(Disaster) Contacts","(Disaster) Other disaster","(Other) Agency & other contact information","(Other) Community development & enrichment","(Other) Volunteering & donations","(Other) Support & advocacy","(Other) Complaints","(Other) Special population services","(Other) Special populations","(Other) All other requests"
"1714","Iron","Aug 1, 2019-Aug 31, 2019",0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1715","Rusk","Sep 1, 2020-Sep 30, 2020",3,0,1,8,0,2,0,0,2,0,0,0,4,20,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
"1716","Monroe","Jun 1, 2021-Jun 30, 2021",11,3,4,11,46,2,0,1,7,2,0,2,14,103,1,2,0,7,0,1,0,0,2,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,4,2,0,13,2,17,13,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,4,0,1,0,8
"1717","Sheboygan","Jan 1, 2020-Jan 31, 2020",20,7,5,8,5,1,0,2,3,1,1,0,3,56,6,3,1,10,0,0,0,0,1,5,0,0,1,0,0,0,4,0,0,0,0,1,0,0,2,1,2,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
"1718","Menominee","Jul 1, 2020-Jul 31, 2020",0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1719","Shawano","Jul 1, 2021-Jul 31, 2021",4,1,1,6,7,1,1,0,6,5,0,1,3,36,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
"1720","Portage","Sep 1, 2020-Sep 30, 2020",125,26,21,78,25,23,15,0,41,18,2,4,45,423,10,12,62,34,3,3,1,0,4,17,0,0,5,0,0,0,10,1,2,3,0,4,1,0,4,1,4,6,0,3,0,7,21,0,19,13,0,0,11,0,4,10,0,0,3,0,3,3,9,1,0,4,7,4,2,1,0,0,0,1,0,0,0,0,8,2,0,13,18,0,2,2,11,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,4,8,11,6,3,4,0,9
"1721","Outagamie","Jan 1, 2020-Jan 31, 2020",57,12,4,23,22,15,4,3,24,9,0,0,33,206,20,14,3,13,5,2,0,0,0,9,1,0,2,0,0,0,3,0,1,0,0,0,0,0,2,1,7,1,0,10,0,0,0,0,0,0,2,0,8,0,6,8,0,0,2,0,0,5,4,4,0,0,0,2,0,2,0,0,0,0,0,3,0,0,10,1,0,6,7,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,6,0,0,7,0,8
"1722","Kewaunee","Aug 1, 2021-Aug 31, 2021",4,1,6,1,0,0,0,0,0,0,0,2,1,15,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
"1723","Richland","Aug 1, 2019-Aug 31, 2019",11,0,3,3,4,2,0,0,1,0,0,1,3,28,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
"1724","Winnebago","May 1, 2020-May 31, 2020",68,23,14,53,35,20,13,1,42,7,1,5,25,307,14,15,1,34,1,2,0,1,6,15,1,0,1,0,0,0,9,0,1,0,0,2,1,1,2,3,4,1,3,3,0,3,17,0,11,5,0,1,7,2,11,14,1,0,4,0,4,3,7,0,1,1,3,5,1,4,0,0,0,0,1,0,0,0,5,0,0,17,19,1,1,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,13,1,4,1,2,0,0,4
"1725","Monroe","Apr 1, 2020-Apr 30, 2020",12,6,3,17,27,5,1,0,9,3,1,0,12,96,3,2,0,7,0,0,0,0,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,9,1,0,0,10,0,16,1,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,6
"1726","Calumet","Oct 1, 2021-Oct 31, 2021",14,2,9,41,9,7,0,0,8,4,0,0,11,105,3,3,2,4,0,1,0,1,1,1,0,0,0,0,0,0,4,2,0,2,0,1,0,0,0,0,1,2,1,4,0,1,4,16,4,2,6,0,3,0,1,5,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
"1727","Sheboygan","Oct 1, 2019-Oct 31, 2019",39,2,31,8,16,4,9,1,6,2,0,0,12,130,15,1,6,15,0,1,1,0,0,2,0,0,0,0,0,0,14,16,0,1,0,0,0,0,1,0,1,1,0,5,0,0,0,0,0,0,0,0,11,0,3,2,0,0,4,0,0,0,0,0,0,0,1,1,1,5,0,1,0,0,1,0,0,0,1,0,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,5
"1728","Waukesha","Aug 1, 2019-Aug 31, 2019",110,15,19,27,254,10,3,2,67,6,1,1,46,561,34,34,2,29,0,11,0,0,8,6,0,0,1,0,0,0,16,1,0,0,0,2,0,0,3,0,5,0,0,15,1,0,0,0,0,0,3,0,41,1,87,125,0,0,4,0,0,0,4,2,0,0,1,0,0,2,0,0,0,0,1,1,0,0,10,38,0,13,6,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18,1,4,8,1,3,0,11
"1729","Marquette","Sep 1, 2019-Sep 30, 2019",0,0,0,0,1,0,0,0,5,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"1730","Marinette","Aug 1, 2020-Aug 31, 2020",4,1,0,45,5,0,2,0,3,0,0,1,3,64,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,32,0,4,6,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
"1731","Outagamie","Oct 1, 2019-Oct 31, 2019",89,19,18,33,32,26,18,5,35,23,0,0,40,338,32,27,4,21,0,4,1,0,8,7,3,0,0,1,0,0,11,1,3,2,0,0,1,0,6,4,8,1,1,11,0,0,0,0,0,1,1,0,11,0,5,16,0,0,6,0,1,1,11,7,0,0,5,4,1,2,1,5,0,0,4,1,0,0,10,2,0,8,15,0,4,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,2,2,1,5,0,10
"1732","Green Lake","Aug 1, 2020-Aug 31, 2020",2,2,0,8,0,0,0,0,0,2,0,1,2,17,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"1733","Green Lake","Feb 1, 2020-Feb 29, 2020",6,0,0,0,0,0,0,1,0,2,0,0,2,11,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"1734","Oconto","Feb 1, 2021-Feb 28, 2021",9,0,0,5,1,2,0,0,0,1,0,0,1,19,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1735","Marinette","Feb 1, 2020-Feb 29, 2020",6,2,3,5,5,2,1,0,2,0,0,0,2,28,2,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"1736","Walworth","May 1, 2021-May 31, 2021",35,5,11,39,25,0,1,0,5,5,0,1,14,141,6,6,1,19,0,2,1,0,1,3,0,0,1,0,0,0,8,1,2,0,0,0,0,0,1,4,0,0,0,1,0,0,7,7,1,2,16,0,18,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,1,0,0,0,4
"1737","Buffalo","Oct 1, 2020-Oct 31, 2020",2,1,0,3,0,0,0,0,0,1,0,0,1,8,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1738","Burnett","Apr 1, 2021-Apr 30, 2021",3,1,1,9,2,0,0,0,0,0,0,0,0,16,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1739","Eau Claire","Jul 1, 2021-Jul 31, 2021",28,4,9,24,71,9,2,2,19,12,2,0,10,192,4,4,1,14,1,4,0,0,1,2,0,0,1,0,0,0,7,0,0,0,0,2,0,0,4,0,1,0,0,3,1,0,1,4,1,0,9,0,21,1,34,14,1,0,3,0,4,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,5,0,0,6,7,1,3,4,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,0,3
"1740","Taylor","Nov 1, 2020-Nov 30, 2020",1,1,2,1,5,0,0,0,0,0,0,0,1,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1741","Sauk","Jan 1, 2021-Jan 31, 2021",17,0,1,14,0,3,2,0,5,2,0,0,1,45,2,2,1,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1742","Iowa","Jun 1, 2021-Jun 30, 2021",9,8,0,10,3,2,1,0,0,3,0,0,6,42,0,3,0,3,0,3,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,5,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,2
"1743","Clark","Apr 1, 2020-Apr 30, 2020",5,2,4,14,0,2,0,0,7,0,0,1,5,40,1,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
"1744","Dodge","Apr 1, 2021-Apr 30, 2021",7,2,6,72,17,4,2,0,4,1,0,0,8,123,0,0,1,3,0,3,0,0,1,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,2,1,2,0,0,2,0,0,3,24,2,2,34,0,10,0,3,4,0,0,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
"1745","Oneida","May 1, 2020-May 31, 2020",10,1,1,26,2,1,1,0,5,4,0,2,3,56,2,0,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,4,0,0,1,0,4,4,0,8,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
"1746","Waupaca","Aug 1, 2019-Aug 31, 2019",16,6,10,6,5,2,3,1,3,0,1,7,4,64,2,6,0,6,1,0,1,0,1,5,0,0,0,0,0,0,9,1,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,2
"1747","Grant","Aug 1, 2019-Aug 31, 2019",8,3,7,2,10,0,0,0,4,2,0,0,8,44,2,0,0,5,0,1,0,0,1,2,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,1
"1748","Wood","Aug 1, 2021-Aug 31, 2021",43,8,9,31,7,4,2,2,16,9,7,11,27,176,5,3,7,25,1,1,0,1,2,4,0,0,1,0,0,1,6,0,1,0,0,2,0,0,2,0,0,4,0,4,1,1,3,3,2,3,8,0,4,0,1,2,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,11,0,2,1,5,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,8,0,1,2,11,4,3,2,1,1,0,5
"1749","Clark","Jun 1, 2021-Jun 30, 2021",9,0,5,1,1,0,0,0,2,1,0,0,2,21,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"1750","Washburn","Aug 1, 2021-Aug 31, 2021",2,0,0,10,9,2,0,0,0,0,1,3,9,36,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,0,4,0,6,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,5,1,0,1,0,0,0,2
"1751","Vernon","Aug 1, 2021-Aug 31, 2021",9,0,2,9,8,3,0,0,7,0,0,2,8,48,0,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,1,0,2,0,0,0,7,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,1,1,0,0,0,2
"1752","Bayfield","Aug 1, 2019-Aug 31, 2019",1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1753","Dodge","Jun 1, 2020-Jun 30, 2020",15,4,5,9,9,3,2,0,6,1,0,3,10,67,2,1,4,8,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,4,0,2,0,0,0,5,0,2,2,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,2,1,0,0,2,0,0
"1754","La Crosse","Sep 1, 2019-Sep 30, 2019",59,26,22,69,299,5,10,7,90,24,1,2,145,759,16,11,9,15,1,7,0,0,2,15,6,0,3,0,0,0,18,0,0,0,0,2,2,0,7,3,10,9,2,24,0,0,0,0,0,3,11,0,34,1,242,20,2,0,2,0,0,0,2,1,0,0,4,5,0,1,0,0,0,0,2,5,0,0,15,5,2,21,47,0,4,7,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,20,14,8,15,2,9,0,77
"1755","Polk","Mar 1, 2020-Mar 31, 2020",7,7,7,10,12,3,3,1,2,0,0,0,8,60,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,10,0,1,1,0,0,0,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,2
"1756","Forest","Nov 1, 2020-Nov 30, 2020",2,1,0,2,2,1,0,0,0,0,0,2,0,10,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"1757","Lafayette","Sep 1, 2019-Sep 30, 2019",0,0,1,1,3,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1758","Crawford","Sep 1, 2021-Sep 30, 2021",2,1,1,4,6,1,0,0,0,0,0,0,3,18,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"1759","Ozaukee","May 1, 2021-May 31, 2021",5,4,0,36,57,3,0,0,8,2,0,0,19,134,1,1,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,4,3,1,3,21,0,12,0,14,31,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,1,0,8
